year,sequence,category,weather,track,air,humidity,ground
2005,1,MotoGP,Sunny,Dry,15,17,32
2005,2,MotoGP,Partly cloudy,Dry,17,56,19
2005,3,MotoGP,Cloudy,Wet,19,88,21
2005,4,MotoGP,Cloudy,Wet,15,68,21
2005,5,MotoGP,Partly cloudy,Dry,27,20,42
2005,6,MotoGP,Partly cloudy,Dry,32,12,36
2005,7,MotoGP,Sunny,Dry,23,32,30
2005,8,MotoGP,Sunny,Dry,23,29,52
2005,9,MotoGP,Raining,Wet,15,77,13
2005,10,MotoGP,Sunny,Dry,21,23,29
2005,12,MotoGP,Sunny,Dry,34,14,39
2005,13,MotoGP,Partly cloudy,Dry,40,10,51
2005,14,MotoGP,Sunny,Dry,39,10,45
2005,15,MotoGP,Sunny,Dry,16,43,27
2005,16,MotoGP,Sunny,Dry,19,20,25
2005,17,MotoGP,Sunny,Dry,21,14,32
2006,1,MotoGP,Sunny,Dry,22,16,33
2006,2,MotoGP,Sunny,Dry,26,12,41
2006,3,MotoGP,Cloudy,Dry,16,27,21
2006,4,MotoGP,Sunny,Dry,31,12,26
2006,5,MotoGP,Partly cloudy,Wet,20,27,29
2006,6,MotoGP,Sunny,Dry,20,14,29
2006,7,MotoGP,Sunny,Dry,27,21,47
2006,8,MotoGP,Partly cloudy,Dry,23,16,29
2006,9,MotoGP,Sunny,Dry,27,20,45
2006,10,MotoGP,Sunny,Dry,20,17,38
2006,11,MotoGP,Sunny,Dry,39,10,56
2006,12,MotoGP,Partly cloudy,Dry,24,21,36
2006,13,MotoGP,Sunny,Dry,33,23,49
2006,14,MotoGP,Partly cloudy,Wet,23,13,33
2006,15,MotoGP,Sunny,Dry,27,11,43
2006,16,MotoGP,Cloudy,Dry,20,55,26
2006,17,MotoGP,Sunny,Dry,32,11,43
2007,1,MotoGP,Sunny,Dry,29,11,45
2007,2,MotoGP,Sunny,Dry,19,20,31
2007,3,MotoGP,Sunny,Dry,23,13,38
2007,4,MotoGP,Sunny,Dry,23,21,32
2007,5,MotoGP,Raining,Wet,13,73,16
2007,6,MotoGP,Sunny,Dry,24,20,29
2007,7,MotoGP,Sunny,Dry,31,13,43
2007,8,MotoGP,Cloudy,Wet,14,90,18
2007,9,MotoGP,Sunny,Dry,21,38,32
2007,10,MotoGP,Sunny,Dry,33,28,41
2007,11,MotoGP,Sunny,Dry,30,39,46
2007,12,MotoGP,Sunny,Dry,26,40,35
2007,13,MotoGP,Sunny,Dry,26,48,42
2007,14,MotoGP,Sunny,Dry,28,42,34
2007,15,MotoGP,Cloudy,Dry,21,90,24
2007,16,MotoGP,Sunny,Dry,20,47,31
2007,17,MotoGP,Partly cloudy,Dry,32,51,38
2007,18,MotoGP,Sunny,Dry,19,43,25
2008,1,MotoGP,Sunny,Dry,18,58,19
2008,2,MotoGP,Sunny,Dry,19,26,23
2008,3,MotoGP,Sunny,Dry,18,53,21
2008,4,MotoGP,Cloudy,Wet,21,72,21
2008,5,MotoGP,Raining,Dry,20,38,26
2008,6,MotoGP,Sunny,Dry,29,30,42
2008,7,MotoGP,Partly cloudy,Dry,27,34,39
2008,8,MotoGP,Partly cloudy,Dry,20,22,26
2008,9,MotoGP,Partly cloudy,Dry,20,62,24
2008,10,MotoGP,Raining,Wet,14,82,17
2008,11,MotoGP,Sunny,Dry,21,42,34
2008,12,MotoGP,Cloudy,Dry,20,33,29
2008,13,MotoGP,Sunny,Dry,35,29,48
2008,14,MotoGP,Raining,Wet,21,89,20
2008,15,MotoGP,Cloudy,Dry,19,51,23
2008,16,MotoGP,Sunny,Dry,17,45,27
2008,17,MotoGP,Cloudy,Dry,39,25,42
2008,18,MotoGP,Sunny,Dry,26,41,34
2009,1,MotoGP,Partly cloudy,Dry,22,79,26
2009,2,MotoGP,Sunny,Dry,22,25,31
2009,3,MotoGP,Sunny,Dry,27,31,45
2009,4,MotoGP,Partly cloudy,Wet,16,58,19
2009,5,MotoGP,Partly cloudy,Wet,18,66,20
2009,6,MotoGP,Sunny,Dry,36,12,46
2009,7,MotoGP,Partly cloudy,Dry,24,48,30
2009,8,MotoGP,Sunny,Dry,22,43,42
2009,9,MotoGP,Partly cloudy,Dry,19,48,27
2009,10,MotoGP,Raining,Wet,18,64,21
2009,11,MotoGP,Sunny,Dry,29,32,45
2009,12,MotoGP,Partly cloudy,Dry,20,35,27
2009,13,MotoGP,Sunny,Dry,24,32,41
2009,14,MotoGP,Sunny,Dry,27,44,38
2009,15,MotoGP,Partly cloudy,Dry,16,45,31
2009,16,MotoGP,Partly cloudy,Wet,27,79,22
2009,17,MotoGP,Sunny,Dry,19,24,29
2010,1,MotoGP,Cloudy,Dry,24,30,26
2010,2,MotoGP,Sunny,Dry,27,30,44
2010,3,MotoGP,Sunny,Dry,32,21,51
2010,4,MotoGP,Sunny,Dry,32,27,54
2010,5,MotoGP,Partly cloudy,Dry,17,27,29
2010,6,MotoGP,Sunny,Dry,23,23,48
2010,7,MotoGP,Sunny,Dry,34,17,49
2010,8,MotoGP,Partly cloudy,Dry,21,44,31
2010,9,MotoGP,Sunny,Dry,23,44,40
2010,10,MotoGP,Sunny,Dry,26,43,40
2010,11,MotoGP,Partly cloudy,Dry,35,26,56
2010,12,MotoGP,Sunny,Dry,27,43,39
2010,13,MotoGP,Sunny,Dry,23,32,39
2010,14,MotoGP,Partly cloudy,Dry,23,44,34
2010,15,MotoGP,Partly cloudy,Dry,33,27,43
2010,16,MotoGP,Partly cloudy,Dry,15,53,29
2010,17,MotoGP,Partly cloudy,Dry,19,41,26
2010,18,MotoGP,Sunny,Dry,22,33,27
2011,1,MotoGP,Partly cloudy,Dry,19,31,20
2011,2,MotoGP,Raining,Wet,17,90,15
2011,3,MotoGP,Partly cloudy,Dry,20,38,38
2011,4,MotoGP,Partly cloudy,Dry,17,35,29
2011,5,MotoGP,Partly cloudy,Dry,20,49,25
2011,6,MotoGP,Raining,Wet,11,85,10
2011,7,MotoGP,Cloudy,Dry,14,82,16
2011,8,MotoGP,Sunny,Dry,29,22,54
2011,9,MotoGP,Cloudy,Dry,21,49,29
2011,10,MotoGP,Sunny,Dry,23,39,44
2011,11,MotoGP,Partly cloudy,Dry,24,37,37
2011,12,MotoGP,Sunny,Dry,27,34,51
2011,13,MotoGP,Partly cloudy,Dry,28,62,35
2011,14,MotoGP,Partly cloudy,Dry,19,50,26
2011,15,MotoGP,Cloudy,Dry,19,55,29
2011,16,MotoGP,Raining,Dry,14,72,26
2011,18,MotoGP,Raining,Wet,17,49,16
2012,1,MotoGP,Partly cloudy,Dry,24,53,23
2012,2,MotoGP,Raining,Dry,14,78,15
2012,3,MotoGP,Partly cloudy,Dry,17,59,35
2012,4,MotoGP,Raining,Wet,13,96,19
2012,5,MotoGP,Partly cloudy,Dry,27,49,40
2012,6,MotoGP,Cloudy,Dry,15,71,23
2012,7,MotoGP,Partly cloudy,Dry,23,44,37
2012,8,MotoGP,Raining,Dry,26,47,37
2012,9,MotoGP,Partly cloudy,Dry,25,43,45
2012,10,MotoGP,Sunny,Dry,18,65,24
2012,11,MotoGP,Partly cloudy,Dry,25,36,39
2012,12,MotoGP,Cloudy,Dry,18,79,23
2012,13,MotoGP,Partly cloudy,Dry,23,56,36
2012,14,MotoGP,Clear,Dry,18,51,23
2012,15,MotoGP,Cloudy,Dry,20,55,23
2012,16,MotoGP,Raining,Wet,25,96,31
2012,17,MotoGP,Partly cloudy,Dry,15,58,26
2012,18,MotoGP,Cloudy,Wet,13,81,15
2013,1,MotoGP,Clear,Dry,21,66,23
2013,2,MotoGP,Partly cloudy,Dry,23,46,38
2013,3,MotoGP,Clear,Dry,27,38,47
2013,4,MotoGP,Raining,Wet,12,93,18
2013,5,MotoGP,Partly cloudy,Dry,21,62,42
2013,6,MotoGP,Clear,Dry,31,29,52
2013,7,MotoGP,Clear,Dry,18,49,18
2013,8,MotoGP,Partly cloudy,Dry,23,48,42
2013,9,MotoGP,Clear,Dry,23,48,49
2013,10,MotoGP,Partly cloudy,Dry,27,42,39
2013,11,MotoGP,Cloudy,Dry,17,70,23
2013,12,MotoGP,Partly cloudy,Dry,18,55,29
2013,13,MotoGP,Cloudy,Dry,24,56,31
2013,14,MotoGP,Partly cloudy,Dry,23,43,30
2013,15,MotoGP,Partly cloudy,Dry,31,58,44
2013,16,MotoGP,Partly cloudy,Dry,28,30,34
2013,17,MotoGP,Clear,Dry,20,33,31
2013,18,MotoGP,Partly cloudy,Dry,23,28,26
2014,1,MotoGP,Clear,Dry,20,60,18
2014,2,MotoGP,Cloudy,Dry,26,71,32
2014,3,MotoGP,Partly cloudy,Dry,24,60,37
2014,4,MotoGP,Clear,Dry,28,25,50
2014,5,MotoGP,Clear,Dry,23,35,42
2014,6,MotoGP,Partly cloudy,Dry,26,22,45
2014,7,MotoGP,Partly cloudy,Dry,22,61,34
2014,8,MotoGP,Cloudy,Wet,19,69,25
2014,9,MotoGP,Cloudy,Wet-Dry,21,66,27
2014,10,MotoGP,Cloudy,Dry,29,61,46
2014,11,MotoGP,Cloudy,Dry,17,71,23
2014,12,MotoGP,Partly cloudy,Dry,18,67,29
2014,13,MotoGP,Clear,Dry,25,45,37
2014,14,MotoGP,Raining,Dry,18,93,20
2014,15,MotoGP,Cloudy,Dry,19,57,27
2014,16,MotoGP,Partly cloudy,Dry,16,84,29
2014,17,MotoGP,Partly cloudy,Dry,36,50,54
2014,18,MotoGP,Partly cloudy,Dry,18,45,22
2015,1,MotoGP,Clear,Dry,22,83,28
2015,2,MotoGP,Partly cloudy,Dry,27,62,36
2015,3,MotoGP,Partly cloudy,Dry,29,71,36
2015,4,MotoGP,Partly cloudy,Dry,26,41,30
2015,5,MotoGP,Clear,Dry,18,45,32
2015,6,MotoGP,Clear,Dry,25,48,48
2015,7,MotoGP,Clear,Dry,28,46,49
2015,8,MotoGP,Partly cloudy,Dry,20,66,30
2015,9,MotoGP,Partly cloudy,Dry,27,38,42
2015,10,MotoGP,Cloudy,Dry,28,70,35
2015,11,MotoGP,Partly cloudy,Dry,26,54,39
2015,12,MotoGP,Raining,Wet,16,85,18
2015,13,MotoGP,Light rain,Dry,27,34,31
2015,14,MotoGP,Partly cloudy,Dry,23,50,39
2015,15,MotoGP,Light rain,Wet,19,93,21
2015,16,MotoGP,Partly cloudy,Dry,15,59,42
2015,17,MotoGP,Cloudy,Dry,35,48,47
2015,18,MotoGP,Clear,Dry,23,63,29
2016,1,MotoGP,Clear,Dry,21,71,23
2016,2,MotoGP,Cloudy,Dry,25,89,30
2016,3,MotoGP,Partly cloudy,Dry,26,62,34
2016,4,MotoGP,Clear,Dry,25,37,40
2016,5,MotoGP,Partly cloudy,Dry,22,40,35
2016,6,MotoGP,Clear,Dry,26,40,48
2016,7,MotoGP,Clear,Dry,27,44,48
2016,8,MotoGP,Heavy rain,Wet,15,93,19
2016,9,MotoGP,Cloudy,Wet,21,86,24
2016,10,MotoGP,Partly cloudy,Dry,27,38,46
2016,11,MotoGP,Cloudy,Wet,17,100,18
2016,12,MotoGP,Cloudy,Dry,18,72,18
2016,13,MotoGP,Partly cloudy,Dry,28,59,43
2016,14,MotoGP,Partly cloudy,Dry,22,58,36
2016,15,MotoGP,Clear,Dry,25,37,36
2016,16,MotoGP,Partly cloudy,Dry,12,62,33
2016,17,MotoGP,Raining,Wet,25,97,28
2016,18,MotoGP,Partly cloudy,Dry,22,42,25
2017,1,MotoGP,Cloudy,Dry,21,96,22
2017,2,MotoGP,Cloudy,Dry,20,60,25
2017,3,MotoGP,Clear,Dry,23,31,40
2017,4,MotoGP,Clear,Dry,28,25,41
2017,5,MotoGP,Partly cloudy,Dry,21,50,37
2017,6,MotoGP,Partly cloudy,Dry,25,58,42
2017,7,MotoGP,Clear,Dry,33,20,54
2017,8,MotoGP,Cloudy,Wet,18,76,25
2017,9,MotoGP,Cloudy,Dry,18,65,26
2017,10,MotoGP,Light rain,Wet,21,70,24
2017,11,MotoGP,Partly cloudy,Dry,23,46,30
2017,12,MotoGP,Clear,Dry,25,36,40
2017,13,MotoGP,Light rain,Wet,18,97,19
2017,14,MotoGP,Clear,Dry,27,44,40
2017,15,MotoGP,Raining,Wet,14,97,15
2017,16,MotoGP,Partly cloudy,Dry,16,79,29
2017,17,MotoGP,Raining,Dry,25,89,33
2017,18,MotoGP,Clear,Dry,25,22,26
2018,1,MotoGP,Clear,Dry,21,46,23
2018,2,MotoGP,Cloudy,Wet,22,94,23
2018,3,MotoGP,Partly cloudy,Dry,22,45,35
2018,4,MotoGP,Clear,Dry,25,41,40
2018,5,MotoGP,Clear,Dry,24,41,45
2018,6,MotoGP,Clear,Dry,29,39,51
2018,7,MotoGP,Partly cloudy,Dry,27,51,45
2018,8,MotoGP,Clear,Dry,23,32,40
2018,9,MotoGP,Partly cloudy,Dry,27,48,48
2018,10,MotoGP,Cloudy,Dry,28,44,41
2018,11,MotoGP,Partly cloudy,Dry,27,41,43
2018,13,MotoGP,Partly cloudy,Dry,27,57,41
2018,14,MotoGP,Clear,Dry,30,36,45
2018,15,MotoGP,Clear,Dry,32,46,49
2018,16,MotoGP,Clear,Dry,23,34,35
2018,17,MotoGP,Partly cloudy,Dry,13,55,32
2018,18,MotoGP,Partly cloudy,Dry,34,55,53
2018,19,MotoGP,Cloudy,Wet,13,98,13
2019,1,MotoGP,Clear,Dry,18,52,19
2019,2,MotoGP,Partly cloudy,Dry,27,75,41
2019,3,MotoGP,Partly cloudy,Dry,21,32,39
2019,4,MotoGP,Clear,Dry,21,61,42
2019,5,MotoGP,Cloudy,Dry,15,79,19
2019,6,MotoGP,Partly cloudy,Dry,29,33,49
2019,7,MotoGP,Clear,Dry,26,47,51
2019,8,MotoGP,Partly cloudy,Dry,25,55,44
2019,9,MotoGP,Partly cloudy,Dry,20,44,32
2019,10,MotoGP,Partly cloudy,Wet,23,43,28
2019,11,MotoGP,Partly cloudy,Dry,23,70,32
2019,12,MotoGP,Partly cloudy,Dry,31,27,44
2019,13,MotoGP,Partly cloudy,Dry,26,54,39
2019,14,MotoGP,Partly cloudy,Dry,27,46,32
2019,15,MotoGP,Partly cloudy,Dry,31,58,48
2019,16,MotoGP,Partly cloudy,Dry,21,76,27
2019,17,MotoGP,Partly cloudy,Dry,16,63,30
2019,18,MotoGP,Partly cloudy,Dry,32,60,44
2019,19,MotoGP,Partly cloudy,Dry,15,44,16
2020,2,MotoGP,Clear,Dry,32,41,53
2020,3,MotoGP,Clear,Dry,36,29,59
2020,4,MotoGP,Clear,Dry,30,38,46
2020,5,MotoGP,Partly cloudy,Dry,28,41,50
2020,6,MotoGP,Cloudy,Dry,22,60,35
2020,7,MotoGP,Clear,Dry,29,54,42
2020,8,MotoGP,Partly cloudy,Dry,28,52,40
2020,9,MotoGP,Cloudy,Dry,17,38,20
2020,10,MotoGP,Light rain,Wet,12,82,14
2020,11,MotoGP,Clear,Dry,21,34,31
2020,12,MotoGP,Clear,Dry,20,41,27
2020,13,MotoGP,Partly cloudy,Dry,22,50,25
2020,14,MotoGP,Partly cloudy,Dry,22,54,27
2020,15,MotoGP,Clear,Dry,22,46,28
2021,1,MotoGP,Clear,Dry,20,60,22
2021,2,MotoGP,Clear,Dry,21,62,22
2021,3,MotoGP,Clear,Dry,25,30,41
2021,4,MotoGP,Clear,Dry,22,36,41
2021,5,MotoGP,Partly cloudy,Dry,17,63,31
2021,6,MotoGP,Clear,Dry,23,30,42
2021,7,MotoGP,Partly cloudy,Dry,25,54,41
2021,8,MotoGP,Cloudy,Dry,28,51,39
2021,9,MotoGP,Partly cloudy,Dry,24,68,34
2021,10,MotoGP,Cloudy,Dry,19,67,19
2021,11,MotoGP,Partly cloudy,Dry,31,44,41
2021,12,MotoGP,Cloudy,Dry,17,66,24
2021,13,MotoGP,Clear,Dry,30,40,48
2021,14,MotoGP,Cloudy,Dry,26,52,29
2021,15,MotoGP,Partly cloudy,Dry,32,46,41
2021,16,MotoGP,Partly cloudy,Dry,18,55,23